あんぐぁr	Angular	固有名詞	
あのゔぁ	Anova	名詞	
あっpsyんc	AppSync	名詞	
bcぉおck	BCloock	名詞	
ぶくろっく	BCloock	名詞	
bろwせrsyんc	BrowserSync	名詞	
ちゃkらうい	Chakra UI	名詞	
ちゃtgpt	ChatGPT	名詞	
cら	CRA	名詞	
cれあてーれあct-あっp	create-react-app	名詞	
cっs	CSS	名詞	
どtふぃぇs	dotfiles	名詞	
えsぃんt	ESLint	名詞	
ふぁせtらcきんg	face tracking	名詞	
ふぁせぼおk	Facebook	名詞	
ふぇいすぶっく	Facebook	名詞	
ふぇえdly	Feedly	名詞	
fぇxぼx	Flexbox	名詞	
ふぉrまってr	Formatter	名詞	
がtsby	Gatsby	名詞	
げcこdりゔぇr	Geckodriver	名詞	
ぎてゅb	GitHub	名詞	
gぁでゔぃせ	gladevise	名詞	
ごおgぇ	Google	名詞	
ごおgぇspれあdしぇえt	Goole Spread Sheet	名詞	
gpt3	GPT-3.5	名詞	
gpt4	GPT-4	名詞	
gらphql	GraphQL	名詞	
html	HTML	名詞	
ふb	Hub	名詞	
いんでぇっdb	IndexedDB	名詞	
js	JavaScript	名詞	
じゃゔぁScりpt	JavaScript	名詞	
じゃばすくりぷと	JavaScript	名詞	
っj	jj	名詞	
じょえぃsてr	JoeLister	名詞	
jsこんふぃg	jsconfig.json	名詞	
ぃんてr	Linter	名詞	
めいsてrたsk	MeisterTask	名詞	
みcろそft	Microsoft	名詞	
みんdめいsてr	MindMeister	名詞	
もびぇ	Mobile	名詞	
もねyふぉrわrd	Money Forward	名詞	
ねおゔぃm	NeoVim	名詞	
ねx	Next.js	名詞	
ねxt	Next.js	名詞	
のこで	NoCode	名詞	
ので	Node.js	名詞	
のちおn	Notion	名詞	
ない	NovelAI	名詞	
のゔぇぁい	NovelAI	名詞	
おぺない	OpenAI	名詞	
ぱcかげ	package.json	名詞	
pれっちえr	Prettier	名詞	
ぷっぺてえr	Puppeteer	名詞	
pyてょn	Python	名詞	
ぱいそん	Python	名詞	
くいck	Quick Start 	名詞	
らsぴ	Raspberry Pi	名詞	
れあct	React	名詞	
れかptちゃ	reCaptcha	名詞	
れかptちゃ	reCAPTCHA	名詞	
ろぼts	robots.txt	名詞	
さっs	Sass	名詞	
scらpy	Scrapy	名詞	
scっs	SCSS	名詞	
せぇにうm	Selenium	名詞	
sw	ServiceWorker	名詞	
せrゔぃせをrけr	ServiceWorker	名詞	
してまp	sitemap.xml	名詞	
sd	Stable Diffusion	名詞	
sたbぇ	Stable Diffusion	名詞	
sつぢお	Studio	名詞	
styぇd-こmぽねんts	styled-components	名詞	
たいlwいんd	TailwindCSS	名詞	
tailwindcss	TailwindCSS	名詞	
tsこんふぃg	tsconfig.json	名詞	
ついったー	Twitter	名詞	
とぃってr	Twitter	名詞	
tyぺscりpt	TypeScript	名詞	
たいぷすくりぷと	TypeScript	名詞	
ts	TypeScript	名詞	
うぶんつ	Ubuntu	名詞	
ゔぁにっぁ	Vanilla	名詞	
ゔぃm	Vim	名詞	
vろいd	VRoid	名詞	
vsこで	VSCode	名詞	
vつべr	VTuber	名詞	
ゔえ	Vue	名詞	
ゔえちfy	Vuetify	名詞	
うぇbdりゔぇr	WebDriver	名詞	
まど	Windows	名詞	
xぱth	XPATH	名詞	
ぜんきt	Zenkit	名詞	
このごにおよんで	この期に及んで	サジェストのみ	
きんとれ	筋トレ	名詞	
こはいかに	此は如何に	サジェストのみ	
やけ	自棄	名詞	
だおれ	倒れ	名詞	
